Y_L(cm)	E(MeV)	YTheta_L(deg)	A	dA	peL	dpeL	peR	peR
-100	3	-89	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-85	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-80	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-60	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-40	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-35	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-30	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-25	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-20	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-15	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-10	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-7.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-5	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	-2.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	0	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	2.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	5	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	7.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	10	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	15	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	20	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	25	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	30	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	35	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	40	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	60	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	80	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	85	-999	-999	0.000695433	-999	0.00448111	-999
-100	3	89	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-89	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-85	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-80	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-60	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-40	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-35	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-30	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-25	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-20	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-15	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-10	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-7.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-5	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	-2.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	0	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	2.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	5	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	7.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	10	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	15	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	20	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	25	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	30	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	35	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	40	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	60	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	80	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	85	-999	-999	0.000695433	-999	0.00448111	-999
-100	5	89	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-89	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-85	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-80	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-60	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-40	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-35	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-30	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-25	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-20	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-15	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-10	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-7.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-5	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	-2.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	0	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	2.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	5	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	7.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	10	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	15	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	20	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	25	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	30	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	35	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	40	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	60	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	80	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	85	-999	-999	0.000695433	-999	0.00448111	-999
-100	10	89	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-89	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-85	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-80	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-60	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-40	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-35	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-30	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-25	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-20	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-15	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-10	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-7.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-5	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	-2.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	0	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	2.5	-999	-999	0.000695433	-999	0.00448111	-999
-100	30	5	-999	-999	0.000695433	-999	0.00448111	-999
